dataset,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
arguana,bm25,28,0.3473428490890847,0.004418494271828967,0.22795207728169933,0.003516184874919799,0.9209267680727615,0.046474826268532006,194.65647224268483,,-0.011434929172431432,-0.00851612690447567,0.022869858344862857,0.0,BM25
arguana,dense,28,0.3702127074339476,0.004477509019022855,0.24498433109065063,0.0043055990138349855,0.960482985729967,0.03184786702815791,5.835418617415995,,0.011434929172431425,0.008516126904475662,0.0,1.0,Dense
arguana,minmax_fusion,28,0.3941021857843907,0.004599438847752664,0.26389444270207163,0.003874968462166783,0.9619335110553552,0.032991844374996755,200.4918908601008,,0.03532440752287459,0.027426238515896668,-0.02388947835044317,2.0751126170503693,Min-max fusion
arguana,rrf,28,0.3873524808667957,0.004697417331636811,0.2580877832289154,0.004129065496524592,0.9689509173592599,0.026993701247951075,200.4918908601008,,0.028574702605279525,0.02161957904274043,-0.0171397734328481,1.7733322787646328,RRF
arguana,validation_weighted_fusion,28,0.39273068621125196,0.006087034356632638,0.2627192745008724,0.0053245781872361675,0.9619335110553552,0.032991844374996755,200.4918908601008,0.7107142857142856,0.0339529079497358,0.026251070314697415,-0.022517978777304375,2.005570642098987,Validation-weighted fusion
arguana,zscore_fusion,28,0.38894735382319395,0.003600299574306851,0.2591554221395839,0.0032345290991047807,0.9629135957346715,0.033504985581122616,200.4918908601008,,0.03016957556167782,0.022687217953408962,-0.018734646389246396,1.849282717558173,Z-score fusion
fiqa,bm25,28,0.23443581813011485,0.009467709878053825,0.2937373761856286,0.011668412390870625,0.4539112934345374,0.06229601496527506,58.2415635972211,,-0.06523543261053459,-0.0732683493033001,0.13047086522106924,0.0,BM25
fiqa,dense,28,0.36490668335118404,0.01136593670957132,0.44027407479222885,0.011418315312656944,0.6379096648459559,0.07858482624633266,58.79607191976296,,0.06523543261053463,0.0732683493033001,0.0,1.0,Dense
fiqa,minmax_fusion,28,0.35642911802361266,0.011217233623036896,0.42940924588362656,0.012924899610065394,0.6416603205074533,0.07636531626971085,117.03763551698408,,0.056757867282963274,0.06240352039469787,0.008477565327571355,0.9356401867797938,Min-max fusion
fiqa,rrf,28,0.3493503362347945,0.011942594303709442,0.42122645574460976,0.01520473671289324,0.6315801620051705,0.07460728699933657,117.03763551698408,,0.04967908549414508,0.05422073025568105,0.015556347116389554,0.8810269550576938,RRF
fiqa,validation_weighted_fusion,28,0.3918523466780897,0.012819362839559412,0.47436742907772766,0.011880264102970614,0.6412267682266835,0.0816156023309014,117.03763551698408,0.9,0.09218109593744024,0.10736170358879894,-0.026945663326905605,1.2070886933191542,Validation-weighted fusion
fiqa,zscore_fusion,28,0.35314523730569364,0.011513352998128565,0.4268822275545214,0.013793934818885696,0.6329383135245028,0.07210474235970649,117.03763551698408,,0.05347398656504417,0.05987650206559266,0.01176144604549045,0.9105245192711663,Z-score fusion
nfcorpus,bm25,28,0.30796960783436794,0.010026811939348484,0.519195281287118,0.012505574557550254,0.21392220446615778,0.026550376314920222,0.7949502941196851,,-0.004227167134095854,0.0027910052910052724,0.009172544486094074,0.14285714285714285,BM25
