method,method_label,baseline,metric,paired_unit,n_units,mean_delta,median_delta,ci95_low,ci95_high,wilcoxon_statistic,p_value_raw,cohen_dz,p_value_holm
rrf,RRF,bm25,ndcg@10,dataset-budget-seed,112,0.05298670556534553,0.03806573210648598,0.04647187781999544,0.059786539996070386,0.0,4.095068960798344e-20,1.441296406273846,6.55211033727735e-19
rrf,RRF,dense,ndcg@10,dataset-budget-seed,112,0.01888959867013772,0.021099731926250587,0.014508385060935314,0.023210374321613065,699.0,8.292234691341952e-13,0.7976296124208366,1.6584469382683903e-12
rrf,RRF,average_single,ndcg@10,dataset-budget-seed,112,0.03593815211774164,0.031145898540263756,0.03425817564464106,0.037646595093603435,0.0,4.095068960798344e-20,3.887515997584396,6.55211033727735e-19
rrf,RRF,best_single,ndcg@10,dataset-budget-seed,112,0.012358388552338992,0.0187011923921285,0.009114822822960117,0.015354220865602388,799.0,6.6063092947549785e-12,0.7332036939691133,6.6063092947549785e-12
rrf,RRF,bm25,mrr@10,dataset-budget-seed,112,0.050706831328332216,0.029733245841329567,0.042777334350956375,0.05904658700824276,0.0,4.095068960798344e-20,1.1118393078348048,6.55211033727735e-19
rrf,RRF,dense,mrr@10,dataset-budget-seed,112,0.019576279950416775,0.022638734357018866,0.014858647832638449,0.02426757752116481,1041.0,7.121613925402264e-10,0.7353277425238953,1.4243227850804528e-09
rrf,RRF,average_single,mrr@10,dataset-budget-seed,112,0.035141555639374496,0.03215190563404852,0.03277113104682483,0.03760468076000808,0.0,4.095068960798344e-20,2.6884390690214977,6.55211033727735e-19
rrf,RRF,best_single,mrr@10,dataset-budget-seed,112,0.009730773982461824,0.01255205338630147,0.006089001427335397,0.01316650140606055,1673.0,1.5007432822040563e-05,0.5088836332645755,1.5007432822040563e-05
rrf,RRF,bm25,recall@100,dataset-budget-seed,112,0.08932571607502403,0.07369585409102425,0.07946643956653876,0.09941075462830698,0.0,4.089181334503089e-20,1.6360341796727476,6.542690135204943e-19
rrf,RRF,dense,recall@100,dataset-budget-seed,112,0.014187056874594437,0.010036420390387907,0.010787232418368002,0.0177577877868873,899.0,4.843998924582515e-11,0.7353734993129836,1.937599569833006e-10
